country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,113000000,230000000,113000000,234000000,299000000,367000000,335000000,257000000,180000000,161000000,154000000,227000000,261000000,237000000,191000000,238000000,239000000,265000000,222000000,249000000,72400000,53500000,22500000,34400000,16800000,39900000,4590000,80100000,119000000,237000000,182000000,700000000,282000000,312000000,309000000,254000000,205000000,307000000,222000000,196000000,203000000,637000000,1800000000,1920000000,2580000000,3160000000,3190000000,5030000000,4740000000,6230000000,6280000000,6380000000,6170000000,4740000000,4570000000,4240000000,4060000000
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8470000,16400000,14800000,425000000,523000000,374000000,207000000,210000000,272000000,215000000,350000000,653000000,456000000,393000000,424000000,413000000,329000000,331000000,334000000,287000000,315000000,316000000,330000000,320000000,312000000,238000000,245000000,334000000,167000000
Algeria,2950000000,3520000000,2990000000,2010000000,1550000000,988000000,818000000,691000000,744000000,798000000,740000000,706000000,547000000,524000000,495000000,775000000,455000000,372000000,469000000,234000000,412000000,401000000,345000000,228000000,335000000,475000000,333000000,354000000,268000000,255000000,440000000,273000000,453000000,430000000,385000000,335000000,352000000,317000000,543000000,184000000,290000000,301000000,265000000,280000000,331000000,354000000,238000000,349000000,268000000,260000000,178000000,164000000,133000000,179000000,139000000,87500000,157000000
Angola,-380000,254000000,,230000,,11600000,27200000,166000000,80000,-920000,-360000,-50000,640000,990000,1580000,17000000,56200000,146000000,118000000,102000000,107000000,132000000,140000000,184000000,241000000,229000000,262000000,225000000,250000000,271000000,370000000,376000000,428000000,405000000,602000000,515000000,567000000,477000000,453000000,523000000,429000000,414000000,563000000,592000000,1230000000,439000000,177000000,250000000,334000000,232000000,222000000,178000000,226000000,259000000,213000000,380000000,207000000
Antigua and Barbuda,,,,,,,,,,,,,,40000,15700000,8700000,11900000,18000000,11200000,9100000,12400000,20500000,11200000,7770000,5520000,6480000,10100000,10300000,14200000,6980000,6690000,10100000,6530000,4520000,5750000,2810000,4790000,5450000,11500000,10700000,12900000,10300000,14800000,5790000,1710000,7520000,3090000,4560000,5130000,3820000,16400000,11300000,1720000,1400000,2240000,1490000,-490000
Argentina,131000000,190000000,207000000,286000000,79600000,-507000000,-107000000,143000000,206000000,133000000,33000000,150000000,110000000,195000000,138000000,89300000,101000000,82500000,69900000,94400000,35100000,96400000,70100000,110000000,116000000,95300000,157000000,153000000,226000000,321000000,220000000,343000000,309000000,301000000,190000000,146000000,150000000,123000000,101000000,90300000,61500000,222000000,123000000,127000000,95700000,95800000,110000000,79300000,102000000,98200000,109000000,81700000,159000000,31700000,42800000,-18900000,3940000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870000,33300000,159000000,265000000,267000000,367000000,213000000,254000000,273000000,290000000,293000000,393000000,301000000,286000000,187000000,227000000,344000000,287000000,483000000,315000000,359000000,248000000,251000000,235000000,347000000,327000000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,9700000,32200000,199000000,144000000,116000000,234000000,156000000,218000000,175000000,275000000,418000000,340000000,198000000,227000000,220000000,220000000,215000000,219000000,155000000,235000000,227000000,-65200000,194000000,69600000,73800000
Bahamas,-420000,,,140000,540000,600000,410000,4310000,430000,550000,510000,1600000,7460000,2140000,2120000,2410000,2070000,1470000,3270000,2980000,4380000,4370000,4360000,2100000,23500000,1690000,10800000,1130000,6560000,6470000,4410000,3760000,3450000,1400000,1090000,5190000,,,,,,,,,,,,,,,,,,,,,
Bahrain,1020000,9620000,13300000,6250000,5480000,7840000,65300000,420000,1860000,1160000,6110000,26200000,14900000,62400000,148000000,90100000,546000000,149000000,226000000,321000000,449000000,441000000,357000000,583000000,492000000,172000000,189000000,14300000,-4290000,-3960000,190000000,126000000,101000000,145000000,118000000,111000000,156000000,189000000,256000000,77800000,78800000,97700000,82100000,156000000,63500000,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,115000000,1100000000,1800000000,2060000000,3740000000,1660000000,2440000000,2700000000,2750000000,2790000000,2460000000,3040000000,2350000000,2750000000,2600000000,2660000000,2880000000,2390000000,2690000000,2860000000,2550000000,2340000000,1800000000,2170000000,1420000000,1430000000,1290000000,1490000000,1560000000,1530000000,1450000000,1200000000,1640000000,1550000000,1400000000,1260000000,1420000000,1880000000,1190000000,1330000000,1340000000,1910000000,2380000000,2190000000,2570000000,2490000000
Barbados,,,,,,,12600000,4110000,6360000,9660000,16100000,29500000,27300000,22800000,16300000,18700000,24600000,18300000,32600000,27700000,30300000,38400000,29100000,40100000,18300000,16700000,7710000,10900000,4420000,3120000,3430000,2770000,-110000,4990000,1330000,-1420000,4830000,5530000,20200000,-2740000,680000,-2180000,4520000,22900000,29900000,-1890000,-1880000,16100000,6080000,9680000,14200000,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62300000,77800000,80800000,96500000,91600000,128000000,103000000,93100000,94400000,104000000,105000000,-22600000
Belize,19200000,28500000,50300000,39400000,10500000,17300000,20200000,47200000,48200000,57200000,45800000,34800000,48000000,26600000,31100000,35600000,49000000,35000000,56900000,58600000,32000000,25800000,28400000,33900000,34500000,47900000,48400000,43500000,42400000,47100000,45900000,32300000,36100000,44400000,44300000,23700000,27700000,18000000,19500000,61900000,22900000,33100000,31700000,15500000,8110000,12300000,8150000,21200000,21000000,24700000,21800000,18900000,23400000,47200000,33100000,28300000,34900000
